gid,sub_id,basin_k,s_local,N,mu_z,cov_z,pi,fallback_only,vbgmm_method,dt_s
6,25,4,0,325,"[0.6472195909466726, 3.6628754341694973, 5.7906537062444645]","[[0.029690546920200216, -0.07291567032710838, 0.0009336277499482838], [-0.07291567032710838, 0.2873479433893514, 0.006104577226281326], [0.0009336277499482844, 0.006104577226281327, 0.024081859599924583]]",0.19143838131144397,False,vbgmm,6.430874586105347
6,26,4,1,266,"[0.4462433577275696, 4.596572699931621, 4.508966815833368]","[[0.007213166129088268, -0.02787813236881722, 0.03170477384156788], [-0.027878132368817216, 0.14085666284953224, -0.126386129255029], [0.03170477384156788, -0.12638612925502904, 0.4250703889092251]]",0.1299075625768026,False,vbgmm,6.052062749862671
6,27,4,2,346,"[0.415893911885841, 4.727658687264232, 5.65463069154268]","[[0.005369096126041485, -0.018801991545162593, 0.0002548069256533996], [-0.01880199154516259, 0.09920944393581836, -0.009215091898664035], [0.00025480692565339925, -0.009215091898664037, 0.04663803758682285]]",0.17330209994113469,False,vbgmm,6.8653600215911865
6,28,4,3,122,"[0.67934578392907, 3.68738696546876, 5.168138658416148]","[[0.022857299453914154, -0.08358478324853216, 0.009569601083623846], [-0.08358478324853216, 0.3498140838132363, -0.00484583874609478], [0.009569601083623846, -0.0048458387460947805, 0.16801199430824007]]",0.08668316282300645,False,vbgmm,4.0143256187438965
6,29,4,4,392,"[0.33012979875470383, 4.769771111545565, 5.197537943467435]","[[0.0009108074656954209, -0.003074121709763135, -0.00010182348610375366], [-0.003074121709763135, 0.13776844479792968, -0.0636199144536819], [-0.00010182348610375354, -0.06361991445368191, 0.2711671021777815]]",0.21156703106892344,False,vbgmm,7.609225511550903
6,30,4,5,109,"[0.6761766876645456, 2.7689234175074393, 5.539467153484227]","[[0.03134014082730429, -0.0737650269269008, -0.007280682980124853], [-0.0737650269269008, 0.5158463796486196, -0.059510858342107925], [-0.007280682980124856, -0.05951085834210792, 0.06431925440600822]]",0.07834453656149769,False,vbgmm,3.9707045555114746
6,31,4,6,218,"[0.4536483209338259, 3.8997106507828088, 5.408872889608986]","[[0.006844395455118201, -0.011746426727032161, -0.006768123216085549], [-0.01174642672703216, 0.1308860070588712, -0.00971511637824567], [-0.006768123216085549, -0.009715116378245672, 0.0838998771932258]]",0.1287572257171911,False,vbgmm,4.731028079986572
6,32,5,0,37,"[0.8794291906941059, 5.4520841119121615, 5.789104901269785]","[[0.006685011617530421, -0.0066615032436604625, -0.0013544816891697781], [-0.0066615032436604625, 0.011070060959642011, 0.0006976472470824511], [-0.0013544816891697781, 0.0006976472470824511, 0.0044797030836234535]]",0.07676159622972265,False,vbgmm,3.6828830242156982
6,33,5,1,54,"[0.9256132974649747, 5.59610721454851, 5.658491056525511]","[[0.0027816386471542667, 0.0003587947730573321, -0.0020390044403549665], [0.00035879477305733213, 0.004184128800181994, -0.0006692203593719313], [-0.002039004440354967, -0.0006692203593719313, 0.009723152522878082]]",0.09875369037105876,False,vbgmm,3.612732410430908
6,34,5,2,99,"[0.6026694357383844, 5.557016296466718, 5.9011330269243505]","[[0.005694375064181437, -0.0044601553264671905, -0.0009096587531727153], [-0.0044601553264671905, 0.008840319604056044, -0.0006754744625330123], [-0.0009096587531727152, -0.0006754744625330123, 0.00443175033064663]]",0.18858535961904158,False,vbgmm,4.04269814491272
