gid,sub_id,basin_k,s_local,N,mu_z,cov_z,pi,fallback_only,vbgmm_method,dt_s
12,37,6,0,13,"[0.32991141789048933, 2.3025037904045855, 1.1099276921333454]","[[0.0007964813302527207, -0.007478292130191423, -0.00814130766847424], [-0.007478292130191423, 0.1787488943909449, 0.13695016476729277], [-0.00814130766847424, 0.1369501647672928, 0.6304534112330965]]",0.09429401905494819,True,vbgmm,3.1485421657562256
12,38,6,1,50,"[0.3783075012403091, 1.5090555565293569, -1.607687806388171]","[[0.0013893785884187078, -0.00029614842694129583, 0.0012236375947376026], [-0.00029614842694129583, 0.04112878851879778, -0.04844852798147056], [0.0012236375947376026, -0.04844852798147056, 1.5946382411261322]]",0.29325881339274446,False,vbgmm,3.922138214111328
12,39,6,2,83,"[0.3950546710897559, 1.3053961134955494, 1.1390359788793119]","[[0.004139240995335282, -0.0038472398501185573, -0.0051698949832869245], [-0.003847239850118557, 0.03106337097265838, 0.005045102663963535], [-0.005169894983286925, 0.005045102663963535, 0.3702927380397048]]",0.3906765930128725,False,vbgmm,4.050779342651367
12,40,6,3,38,"[0.34218222788996405, 1.727513691818753, 2.4931126744211025]","[[0.001096366233013742, 0.00041517927392319815, -0.007898339943089819], [0.00041517927392319815, 0.12426404364051385, 0.042235000858626186], [-0.007898339943089819, 0.04223500085862618, 0.7590219650093794]]",0.2217705745394348,False,vbgmm,3.7215049266815186
12,41,7,0,211,"[0.8909907564924637, 4.2855290344367285, 4.190493508260669]","[[0.005851079170739852, -0.013427568967534642, 0.012213165629327932], [-0.013427568967534644, 0.06674674617672527, -0.07061118529053166], [0.012213165629327932, -0.07061118529053166, 1.1206328025237051]]",0.07070017656718652,False,vbgmm,4.935595989227295
12,42,7,1,729,"[0.7127873248209077, 4.436106447987373, 5.677712811259452]","[[0.02169392147632726, -0.05954522646743412, 0.0003858269273614711], [-0.05954522646743411, 0.2307971496907083, -0.013028192243022993], [0.00038582692736147025, -0.013028192243022993, 0.04808649210798224]]",0.19478439266630487,False,vbgmm,21.21407413482666
12,43,7,2,586,"[0.4188036388216166, 5.4571507626263545, 5.062742122433309]","[[0.0048352845985316075, -0.007051985147909862, -0.006055062824747745], [-0.007051985147909862, 0.027209278543167684, 0.007770811976468289], [-0.006055062824747744, 0.007770811976468289, 0.21887888020744173]]",0.15778272261730322,False,vbgmm,15.507024765014648
12,44,7,3,154,"[0.5673676215808362, 5.179363639507794, 1.3855560102599045]","[[0.013619872904411308, -0.02608578783218498, -0.0024665777677281933], [-0.026085787832184983, 0.07327643189952701, 0.01872128646796705], [-0.0024665777677281933, 0.01872128646796705, 3.534131397292326]]",0.05284118485261018,False,vbgmm,4.154789447784424
12,45,7,4,637,"[0.4375746254544324, 5.236946461735233, 5.7372719942590065]","[[0.006338665083011995, -0.01512618374474666, -0.0017405818924692495], [-0.015126183744746658, 0.07138770880164373, 0.003558665398477782], [-0.0017405818924692493, 0.003558665398477783, 0.04043700939888519]]",0.1546967231996988,False,vbgmm,14.643163204193115
12,46,7,5,558,"[0.6428250969822586, 5.0086628818469014, 4.491523835783774]","[[0.02227146529592436, -0.050397974934385775, 0.049398309081789264], [-0.05039797493438577, 0.1324988313493878, -0.1534456821847772], [0.04939830908178927, -0.15344568218477722, 0.6367397807256138]]",0.1672867500232661,False,vbgmm,11.235074758529663
