cell_id,i_n,i_log_eta,i_log_sy,i_W,i_H,n_lo,n_hi,log_eta_lo,log_eta_hi,log_sy_lo,log_sy_hi,W_lo,W_hi,H_lo,H_hi,current_n,target_n,deficit,est_particles,est_cost,machine_id
592,0,0,1,1,2,0.3,0.47500000025,-0.3301887058668941,1.1783040895138797,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,4.5000000005,5.75000000075,100,150,50,408438.83857875346,20421941.928937674,0
596,0,1,1,1,2,0.3,0.47500000025,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,4.5000000005,5.75000000075,44,150,106,408438.83857875346,43294516.889347866,0
597,1,1,1,1,2,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,4.5000000005,5.75000000075,35,150,115,408438.83857875346,46970466.436556645,0
598,2,1,1,1,2,0.6500000005,0.82500000075,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,4.5000000005,5.75000000075,24,150,126,408438.83857875346,51463293.66092294,0
599,3,1,1,1,2,0.82500000075,1.000000001,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,4.5000000005,5.75000000075,15,150,135,408438.83857875346,55139243.208131716,0
602,2,2,1,1,2,0.6500000005,0.82500000075,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,4.5000000005,5.75000000075,12,150,138,408438.83857875346,56364559.723867975,0
603,3,2,1,1,2,0.82500000075,1.000000001,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,4.5000000005,5.75000000075,18,150,132,408438.83857875346,53913926.692395456,0
605,1,3,1,1,2,0.47500000025,0.6500000005,4.195289680275427,5.703782475656201,-2.7488645537486205,0.16457848020358057,3.25000000025,4.5000000005,4.5000000005,5.75000000075,30,150,120,408438.83857875346,49012660.62945042,0
609,1,0,2,1,2,0.47500000025,0.6500000005,-0.3301887058668941,1.1783040895138797,0.16457848020358057,3.0780215141557807,3.25000000025,4.5000000005,4.5000000005,5.75000000075,11,150,139,408438.83857875346,56772998.56244673,0
613,1,1,2,1,2,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,0.16457848020358057,3.0780215141557807,3.25000000025,4.5000000005,4.5000000005,5.75000000075,138,150,12,408438.83857875346,4901266.062945042,0
618,2,2,2,1,2,0.6500000005,0.82500000075,2.6867968848946537,4.195289680275427,0.16457848020358057,3.0780215141557807,3.25000000025,4.5000000005,4.5000000005,5.75000000075,111,150,39,408438.83857875346,15929114.704571385,0
624,0,0,3,1,2,0.3,0.47500000025,-0.3301887058668941,1.1783040895138797,3.0780215141557807,5.991464548107982,3.25000000025,4.5000000005,4.5000000005,5.75000000075,7,150,143,408438.83857875346,58406753.91676175,0
625,1,0,3,1,2,0.47500000025,0.6500000005,-0.3301887058668941,1.1783040895138797,3.0780215141557807,5.991464548107982,3.25000000025,4.5000000005,4.5000000005,5.75000000075,100,150,50,408438.83857875346,20421941.928937674,0
626,2,0,3,1,2,0.6500000005,0.82500000075,-0.3301887058668941,1.1783040895138797,3.0780215141557807,5.991464548107982,3.25000000025,4.5000000005,4.5000000005,5.75000000075,100,150,50,408438.83857875346,20421941.928937674,0
644,0,1,0,2,2,0.3,0.47500000025,1.1783040895138797,2.6867968848946537,-5.6623075877008215,-2.7488645537486205,4.5000000005,5.75000000075,4.5000000005,5.75000000075,9,150,141,525135.6496145914,74044126.59565738,0
645,1,1,0,2,2,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,-5.6623075877008215,-2.7488645537486205,4.5000000005,5.75000000075,4.5000000005,5.75000000075,10,150,140,525135.6496145914,73518990.94604279,0
648,0,2,0,2,2,0.3,0.47500000025,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,4.5000000005,5.75000000075,4.5000000005,5.75000000075,100,150,50,525135.6496145914,26256782.48072957,0
652,0,3,0,2,2,0.3,0.47500000025,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,4.5000000005,5.75000000075,4.5000000005,5.75000000075,2,150,148,525135.6496145914,77720076.14295952,0
655,3,3,0,2,2,0.82500000075,1.000000001,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,4.5000000005,5.75000000075,4.5000000005,5.75000000075,2,150,148,525135.6496145914,77720076.14295952,0
657,1,0,1,2,2,0.47500000025,0.6500000005,-0.3301887058668941,1.1783040895138797,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,4.5000000005,5.75000000075,4,150,146,525135.6496145914,76669804.84373035,0
660,0,1,1,2,2,0.3,0.47500000025,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,4.5000000005,5.75000000075,84,150,66,525135.6496145914,34658952.87456303,0
662,2,1,1,2,2,0.6500000005,0.82500000075,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,4.5000000005,5.75000000075,30,150,120,525135.6496145914,63016277.95375097,0
663,3,1,1,2,2,0.82500000075,1.000000001,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,4.5000000005,5.75000000075,12,150,138,525135.6496145914,72468719.64681362,0
664,0,2,1,2,2,0.3,0.47500000025,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,4.5000000005,5.75000000075,33,150,117,525135.6496145914,61440871.00490719,0
665,1,2,1,2,2,0.47500000025,0.6500000005,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,4.5000000005,5.75000000075,15,150,135,525135.6496145914,70893312.69796984,0
669,1,3,1,2,2,0.47500000025,0.6500000005,4.195289680275427,5.703782475656201,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,4.5000000005,5.75000000075,38,150,112,525135.6496145914,58815192.75683424,0
670,2,3,1,2,2,0.6500000005,0.82500000075,4.195289680275427,5.703782475656201,-2.7488645537486205,0.16457848020358057,4.5000000005,5.75000000075,4.5000000005,5.75000000075,22,150,128,525135.6496145914,67217363.1506677,0
672,0,0,2,2,2,0.3,0.47500000025,-0.3301887058668941,1.1783040895138797,0.16457848020358057,3.0780215141557807,4.5000000005,5.75000000075,4.5000000005,5.75000000075,16,150,134,525135.6496145914,70368177.04835525,0
681,1,2,2,2,2,0.47500000025,0.6500000005,2.6867968848946537,4.195289680275427,0.16457848020358057,3.0780215141557807,4.5000000005,5.75000000075,4.5000000005,5.75000000075,109,150,41,525135.6496145914,21530561.63419825,0
683,3,2,2,2,2,0.82500000075,1.000000001,2.6867968848946537,4.195289680275427,0.16457848020358057,3.0780215141557807,4.5000000005,5.75000000075,4.5000000005,5.75000000075,94,150,56,525135.6496145914,29407596.37841712,0
688,0,0,3,2,2,0.3,0.47500000025,-0.3301887058668941,1.1783040895138797,3.0780215141557807,5.991464548107982,4.5000000005,5.75000000075,4.5000000005,5.75000000075,19,150,131,525135.6496145914,68792770.09951147,0
689,1,0,3,2,2,0.47500000025,0.6500000005,-0.3301887058668941,1.1783040895138797,3.0780215141557807,5.991464548107982,4.5000000005,5.75000000075,4.5000000005,5.75000000075,5,150,145,525135.6496145914,76144669.19411576,0
690,2,0,3,2,2,0.6500000005,0.82500000075,-0.3301887058668941,1.1783040895138797,3.0780215141557807,5.991464548107982,4.5000000005,5.75000000075,4.5000000005,5.75000000075,3,150,147,525135.6496145914,77194940.49334493,0
709,1,1,0,3,2,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,-5.6623075877008215,-2.7488645537486205,5.75000000075,7.000000001,4.5000000005,5.75000000075,5,150,145,641832.4606504291,93065706.79431222,0
710,2,1,0,3,2,0.6500000005,0.82500000075,1.1783040895138797,2.6867968848946537,-5.6623075877008215,-2.7488645537486205,5.75000000075,7.000000001,4.5000000005,5.75000000075,4,150,146,641832.4606504291,93707539.25496265,0
711,3,1,0,3,2,0.82500000075,1.000000001,1.1783040895138797,2.6867968848946537,-5.6623075877008215,-2.7488645537486205,5.75000000075,7.000000001,4.5000000005,5.75000000075,6,150,144,641832.4606504291,92423874.3336618,0
712,0,2,0,3,2,0.3,0.47500000025,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,5.75000000075,7.000000001,4.5000000005,5.75000000075,2,150,148,641832.4606504291,94991204.17626351,0
714,2,2,0,3,2,0.6500000005,0.82500000075,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,5.75000000075,7.000000001,4.5000000005,5.75000000075,2,150,148,641832.4606504291,94991204.17626351,0
716,0,3,0,3,2,0.3,0.47500000025,4.195289680275427,5.703782475656201,-5.6623075877008215,-2.7488645537486205,5.75000000075,7.000000001,4.5000000005,5.75000000075,1,150,149,641832.4606504291,95633036.63691394,0
721,1,0,1,3,2,0.47500000025,0.6500000005,-0.3301887058668941,1.1783040895138797,-2.7488645537486205,0.16457848020358057,5.75000000075,7.000000001,4.5000000005,5.75000000075,1,150,149,641832.4606504291,95633036.63691394,0
725,1,1,1,3,2,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,5.75000000075,7.000000001,4.5000000005,5.75000000075,23,150,127,641832.4606504291,81512722.5026045,0
727,3,1,1,3,2,0.82500000075,1.000000001,1.1783040895138797,2.6867968848946537,-2.7488645537486205,0.16457848020358057,5.75000000075,7.000000001,4.5000000005,5.75000000075,13,150,137,641832.4606504291,87931047.10910879,0
729,1,2,1,3,2,0.47500000025,0.6500000005,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,5.75000000075,7.000000001,4.5000000005,5.75000000075,7,150,143,641832.4606504291,91782041.87301137,0
730,2,2,1,3,2,0.6500000005,0.82500000075,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,5.75000000075,7.000000001,4.5000000005,5.75000000075,9,150,141,641832.4606504291,90498376.9517105,0
731,3,2,1,3,2,0.82500000075,1.000000001,2.6867968848946537,4.195289680275427,-2.7488645537486205,0.16457848020358057,5.75000000075,7.000000001,4.5000000005,5.75000000075,13,150,137,641832.4606504291,87931047.10910879,0
734,2,3,1,3,2,0.6500000005,0.82500000075,4.195289680275427,5.703782475656201,-2.7488645537486205,0.16457848020358057,5.75000000075,7.000000001,4.5000000005,5.75000000075,24,150,126,641832.4606504291,80870890.04195407,0
738,2,0,2,3,2,0.6500000005,0.82500000075,-0.3301887058668941,1.1783040895138797,0.16457848020358057,3.0780215141557807,5.75000000075,7.000000001,4.5000000005,5.75000000075,1,150,149,641832.4606504291,95633036.63691394,0
741,1,1,2,3,2,0.47500000025,0.6500000005,1.1783040895138797,2.6867968848946537,0.16457848020358057,3.0780215141557807,5.75000000075,7.000000001,4.5000000005,5.75000000075,102,150,48,641832.4606504291,30807958.1112206,0
742,2,1,2,3,2,0.6500000005,0.82500000075,1.1783040895138797,2.6867968848946537,0.16457848020358057,3.0780215141557807,5.75000000075,7.000000001,4.5000000005,5.75000000075,74,150,76,641832.4606504291,48779267.009432614,0
745,1,2,2,3,2,0.47500000025,0.6500000005,2.6867968848946537,4.195289680275427,0.16457848020358057,3.0780215141557807,5.75000000075,7.000000001,4.5000000005,5.75000000075,97,150,53,641832.4606504291,34017120.414472744,0
772,0,1,0,0,3,0.3,0.47500000025,1.1783040895138797,2.6867968848946537,-5.6623075877008215,-2.7488645537486205,2.0,3.25000000025,5.75000000075,7.000000001,23,150,127,356573.589224882,45284845.831560016,0
776,0,2,0,0,3,0.3,0.47500000025,2.6867968848946537,4.195289680275427,-5.6623075877008215,-2.7488645537486205,2.0,3.25000000025,5.75000000075,7.000000001,8,150,142,356573.589224882,50633449.669933245,0
