n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,gid,basin_k,sub_id
0.62835869,195.56470133,93.92384946,4.7,4.0,0.4268241,0.8581586,1.213594,1.5179114,1.7775793,2.0010314,2.1943445,2.364129,12,3,15
0.41903366,59.85492242,17.49712279,4.0,4.3,0.96174335,2.9564667,4.7091904,5.7930956,6.2581224,6.460578,6.5700808,6.639535,12,5,30
0.40182134,118.58131588,372.69532702,4.2,5.0,0.5171914,1.2227635,1.7703176,2.0685425,2.1949081,2.2629023,2.3174114,2.364694,12,4,24
0.9851752,130.08724507,386.08790955,4.0,4.9,0.309731,0.44275331,0.58233976,0.71115875,0.83618784,0.9499507,1.0557714,1.1546383,12,3,17
0.93853548,167.20919729,201.55476683,4.9,4.3,0.3493762,0.5529103,0.7770605,0.9848037,1.1802139,1.3612094,1.5300012,1.6875715,12,3,16
0.84897458,204.94727932,57.69548569,4.4,4.8,0.3695035,0.6087918,0.8566537,1.0869002,1.3015442,1.4996934,1.6830063,1.8528528,12,3,15
0.7976944,36.02978841,229.22709442,4.49402015,4.50440764,0.63528538,1.72317505,2.63416576,3.20157385,3.52098751,3.72377396,3.86878967,3.98205185,12,0,6
0.31000382,209.69157614,45.88314168,4.8,4.7,0.66653395,1.9441519,3.0822225,3.789103,4.1087995,4.255098,4.3517995,4.433471,12,0,1
0.65282308,45.1617835,226.65195471,4.1,4.0,0.6404424,1.7558918,2.6707473,3.1875505,3.4270601,3.5564451,3.6454616,3.7190385,12,0,6
0.97084735,29.45639237,286.37328638,4.69379549,4.57403759,0.56751347,1.41350365,2.11374855,2.59398746,2.91244507,3.13592768,3.30907726,3.44881296,12,7,42
0.36942641,151.34762299,89.51939823,4.2,4.9,0.6658888,1.8683877,2.8950572,3.4880657,3.756546,3.899909,4.0048285,4.093294,12,0,1
0.89563726,248.59724571,158.30368791,4.0,4.3,0.2832284,0.3901062,0.5397167,0.6674495,0.79965305,0.9252,1.0441275,1.1566467,12,3,15
0.57366288,14.15579319,134.85244751,4.374856,4.17466068,0.99744844,3.13649559,5.1359458,6.50665522,7.10474443,7.31178617,7.39047098,7.42247343,12,5,34
0.43270126,253.19074431,289.34425913,4.9,4.7,0.4139886,0.793859,1.0626569,1.2754269,1.4530973,1.6053205,1.7377496,1.8552308,12,7,45
0.73063853,55.78262337,253.56036428,4.6,4.2,0.5705128,1.4701047,2.218699,2.6995115,2.9878125,3.1794186,3.3260522,3.4457607,12,0,6
0.89834899,115.84316234,392.16565059,4.1,4.1,0.32436228,0.5047946,0.668262,0.81846905,0.9568205,1.0822616,1.1959529,1.2998524,12,3,18
0.50742896,34.99481632,175.22336789,4.3,4.9,0.8484521,2.6231527,4.2272577,5.2538595,5.6895866,5.8478537,5.9142923,5.94773,12,0,3
0.33088421,157.57950106,200.64142123,4.8,4.3,0.61633396,1.7462788,2.74647,3.3576999,3.60351,3.691729,3.75253,3.8069868,12,4,26
0.69373372,258.67570486,293.54474162,4.5,4.3,0.31100416,0.4335637,0.5687914,0.6941676,0.81713724,0.9294014,1.0350718,1.1350121,12,3,21
0.39483691,19.07866241,173.91847323,4.48670156,4.79268055,0.96864271,3.25384378,5.53121471,7.32941818,8.24660587,8.49026871,8.53906918,8.55303764,12,5,31
0.57735604,56.55203629,99.43377686,4.42010164,4.01394081,0.75011921,2.16584063,3.33401108,4.00287962,4.33077574,4.51623011,4.64274263,4.74165869,12,0,6
0.33427201,179.30356514,218.80937863,4.1,4.2,0.53444004,1.3219647,1.9423337,2.2771988,2.425466,2.5147142,2.5884838,2.6532025,12,4,26
0.57699501,89.01450734,200.43157634,4.9,4.1,0.59160185,1.6091437,2.4820528,3.0335793,3.3394418,3.5315585,3.6705408,3.7843862,12,0,1
0.81572853,62.57837466,347.14534911,4.8,4.4,0.48239565,1.0884247,1.5799265,1.9431505,2.2089567,2.4119477,2.573442,2.705669,12,7,42
0.80756147,222.38868611,11.97922711,4.0,4.8,0.35561037,0.5900135,0.8280163,1.0478587,1.2535954,1.4435863,1.6188674,1.7811499,12,3,16
0.76921949,269.53367863,309.96471986,4.3,4.8,0.2963953,0.37771845,0.49190617,0.5927601,0.702683,0.7983241,0.8897166,0.97761726,12,3,21
0.90433261,241.790008,383.6443557,4.97641415,4.67762178,0.30022287,0.35685349,0.46426964,0.5639782,0.67265129,0.76294947,0.85308552,0.94120359,12,1,-1
0.56796413,84.20811993,52.88051247,4.2,4.8,0.7048154,1.9777174,3.029828,3.6582675,4.009621,4.2319207,4.3929706,4.5227,12,0,4
0.75539568,69.47960777,115.74434881,4.5,4.9,0.5998616,1.5292931,2.2977185,2.820672,3.1734867,3.434557,3.6413107,3.8124838,12,7,48
0.48067325,265.61009349,334.21051743,4.3,4.9,0.35351133,0.5486798,0.6821022,0.807724,0.9209728,1.0231462,1.1164412,1.2023196,12,3,21
0.98415794,259.85047682,318.18414861,4.2,4.1,0.25514793,0.29894352,0.40398455,0.48266506,0.57715464,0.6661439,0.749496,0.83008194,12,1,-1
0.69622353,73.13,300.0,4.36968969,4.072023,0.49541712,1.12149334,1.61473036,1.94636011,2.16958237,2.33290577,2.46100664,2.56607246,12,7,42
0.50198701,268.39400343,259.17666498,4.57756429,4.39191768,0.36731863,0.60756683,0.78619576,0.95004606,1.096138,1.22831297,1.34730482,1.45539188,12,3,21
0.86492771,81.45995258,267.16499883,4.8,4.9,0.46580172,0.9869566,1.4179602,1.7721009,2.0608845,2.300517,2.5017223,2.673657,12,7,42
0.45846493,261.25089983,284.23183563,4.6,4.6,0.38751078,0.68219566,0.88710356,1.0638447,1.2176809,1.3534818,1.4742608,1.5828218,12,3,21
0.81606832,283.89342793,35.8998028,4.7,4.0,0.31789446,0.468863,0.6628175,0.8374033,1.0093141,1.1701379,1.3219795,1.4662156,12,3,20
0.85950126,135.98396716,52.72555837,4.6,5.0,0.44713926,0.87774754,1.2601728,1.6018391,1.902,2.166513,2.3986335,2.604372,12,3,18
0.79025827,136.95744306,66.32466096,4.5,5.0,0.46258497,0.943779,1.3556232,1.7117839,2.0160308,2.2771397,2.5033636,2.7009873,12,3,18
0.66637659,6.54464579,19.04434395,4.38389778,4.63435364,1.27210522,4.1386447,6.90413618,8.95741081,10.0651741,10.50424576,10.7404747,10.94863129,12,2,11
0.79399326,286.07608079,399.63406224,4.0,5.0,0.26018333,0.29501152,0.3752594,0.424644,0.50253963,0.5634365,0.62157965,0.67717075,12,1,-1
0.37694554,75.46974583,62.48517923,4.1,4.5,0.88354874,2.7171545,4.3524485,5.37136,5.7977333,5.9564934,6.0366316,6.0887117,12,0,7
0.91503146,186.77393119,398.75279797,4.3,4.1,0.2798233,0.36034584,0.47549868,0.57360363,0.67732,0.77228355,0.86191607,0.9467864,12,3,17
0.99870749,13.18286256,244.78228745,4.53570997,4.29759812,0.68768263,1.91578197,2.93506241,3.55313873,3.89271164,4.09161854,4.21705055,4.30548859,12,0,6
0.61186526,144.6132038,280.34305109,4.61283152,4.98309381,0.45429277,0.96676588,1.37503958,1.69529295,1.94980669,2.15696907,2.32909441,2.47671604,12,7,42
0.35564074,279.5479405,380.39550654,4.9,4.6,0.3902583,0.70208263,0.8865919,1.0262694,1.1448493,1.2488656,1.3416052,1.4246988,12,7,45
0.57682668,238.54895988,295.29066229,4.1,4.5,0.33659506,0.5160589,0.66239357,0.7985425,0.9238558,1.0386505,1.1437893,1.2405367,12,3,17
0.74519616,3.96517348,15.3654623,4.26964092,4.62290955,1.30660534,4.22775364,7.06025791,9.16960907,10.33513737,10.82881737,11.10359573,11.36100006,12,2,11
0.79048726,271.20841002,186.35715818,4.0,4.9,0.2975173,0.40925312,0.5508313,0.67480516,0.8039942,0.92217684,1.034483,1.141273,12,3,21
0.92463956,70.89793018,308.64941821,4.7,4.3,0.436244,0.88776875,1.2582932,1.5681825,1.8267832,2.04381,2.2268276,2.3837523,12,7,42
0.43626937,18.12319948,32.86720483,4.9,4.3,1.2221808,4.0587063,6.9313993,9.233988,10.531354,10.930798,11.041617,11.110096,12,2,12
0.55273485,18.77824783,0.14953475,4.72178888,4.79391336,1.20023489,3.93121147,6.52205944,8.38490009,9.33727646,9.72980976,9.95651054,10.13038445,12,5,32
0.97530709,241.13345076,146.6612677,4.5,4.8,0.31480026,0.42534876,0.5920658,0.74052763,0.8955016,1.0354557,1.1691418,1.2979493,12,3,15
0.69737046,255.41634503,234.36115802,4.6,4.7,0.33880997,0.5024018,0.6699586,0.82973576,0.98056316,1.119144,1.2489486,1.3707452,12,3,21
0.95247015,3.36971227,104.6555246,4.9,4.0,1.0601983,3.4096699,5.6371818,7.232657,7.99447,8.291466,8.427341,8.494595,12,5,33
0.51934955,256.44473359,108.34906083,4.16936804,4.66194793,0.41565228,0.81060648,1.12352991,1.38964605,1.61751461,1.81487703,1.98676014,2.13846064,12,3,19
0.46517043,102.24340453,33.39891549,4.99888694,4.67350751,0.76810789,2.32728386,3.6896677,4.53292274,4.94349194,5.15196609,5.28710556,5.38670731,12,0,7
0.57991286,69.00604184,65.36343459,4.7,4.1,0.7397957,2.1950755,3.4373336,4.180358,4.5487356,4.7487316,4.8839474,4.991399,12,0,3
0.89398562,29.50393042,13.09775729,4.5,4.0,0.7616849,2.1478043,3.2415442,3.9159489,4.3311687,4.6098065,4.824349,4.990517,12,0,0
0.68875613,262.56129455,154.41974484,4.7,4.9,0.36037636,0.56728506,0.7712822,0.96614456,1.1463537,1.3126111,1.4671578,1.6106796,12,3,21
0.89267397,284.22970581,201.71707153,4.61076641,4.95052195,0.30951548,0.39374065,0.54314041,0.67607355,0.81565189,0.94007778,1.06141806,1.17951584,12,3,21
0.6505681,47.29529744,53.72281089,4.9,4.4,0.8082509,2.4840074,3.9411073,4.838118,5.2786946,5.5148597,5.669761,5.785702,12,0,3
0.36368068,141.98748012,324.3972434,4.5,4.8,0.54054356,1.3476095,2.0062747,2.3834004,2.5436835,2.6201172,2.679443,2.7319975,12,4,24
0.77551869,272.72791802,113.5664123,4.8,4.0,0.3198371,0.47528076,0.66311693,0.83442783,1.0010176,1.1563854,1.3029695,1.4415159,12,3,15
0.86944865,134.47373689,7.51830445,4.5,4.2,0.43731737,0.86151266,1.2380424,1.5726485,1.8664432,2.1242461,2.350587,2.5513072,12,3,16
0.71495092,6.210711,4.47465038,4.17065811,4.06306601,1.26916647,3.97379923,6.4532218,8.10970116,8.94543839,9.35377693,9.66393089,9.9424057,12,5,32
0.69572219,288.48785345,45.88771939,4.5,4.6,0.35429,0.5619559,0.7761855,0.97612524,1.1637611,1.337851,1.4992251,1.650075,12,3,20
0.7528019,14.12752342,396.62094116,4.63767767,4.19977999,0.65259218,1.82826185,2.84491014,3.42662764,3.59244394,3.59566545,3.59655333,3.59784365,12,4,25
0.46890547,20.23691268,215.47093539,4.1,4.4,0.8857169,2.7371025,4.463776,5.6182895,6.074965,6.180285,6.194471,6.195273,12,5,31
0.91729586,16.00238544,285.91913393,4.2,4.1,0.6501317,1.7940345,2.74055,3.2937007,3.5607786,3.696784,3.7723284,3.823944,12,4,23
0.40810006,29.54153802,99.90397324,4.2,4.8,1.0374446,3.2996068,5.447662,6.973618,7.6791778,7.907286,8.002596,8.055229,12,5,31
0.46611763,249.37700417,201.04667712,4.4,4.7,0.41731167,0.792573,1.0691409,1.2948885,1.4848876,1.6477842,1.7889333,1.9139552,12,7,43
0.76979266,89.09836449,139.83620759,4.4,4.2,0.5106964,1.1732264,1.7127919,2.1185718,2.426093,2.6704645,2.8704643,3.042091,12,7,48
0.78879813,171.38555251,322.7717756,4.5,4.3,0.33861494,0.5260458,0.7029414,0.86845255,1.0216393,1.1617942,1.290915,1.4098787,12,3,17
