n,eta,sigma_y,width,height,x_01,x_02,x_03,x_04,x_05,x_06,x_07,x_08,split,gid,length_bin,sub_id
0.3357245830300319,6.844311005228995,1.0310020335032242,2.86208737,4.56765112,1.314140558242798,4.499601364135742,8.307476043701172,11.781986236572266,14.217305183410645,14.490086555480955,14.494891166687012,14.499211311340332,train,2,3,18
0.91964859,262.94812012,366.02890015,2.35972333,4.44531345,0.14889359,0.18448949,0.24635267,0.31617355,0.37415242,0.43109679,0.48873281,0.54453659,train,2,0,0
0.31587683,114.18389889,174.47731458,2.7327839,4.80243405,0.6361053,1.98485112,3.20661759,3.93832755,4.14425564,4.16550446,4.18410683,4.20240021,train,2,2,12
0.54274737,283.66473174,270.05781161,2.58123658,4.59778038,0.22851038,0.35600519,0.47812438,0.59070253,0.69543171,0.79382992,0.88550377,0.9714632,train,2,1,8
0.4825154101336777,2.7784809543950426,0.7019510329208623,2.07019329,4.9111433,1.2413194179534912,4.239408493041992,7.955950736999512,11.426458358764648,13.916383743286133,14.317686080932615,14.323518753051758,14.329017639160156,train,2,3,18
0.53550533,112.67361031,193.8188114,2.2767887,4.69958435,0.41876435,1.07724023,1.61270046,1.94804597,2.16233993,2.3173492,2.44069028,2.54372001,train,2,2,14
0.52421808,291.69469589,228.46072131,2.3,4.4,0.14506769,0.18457794,0.24222994,0.28444386,0.3222294,0.3597703,0.39421844,0.4251995,train,2,0,4
0.34340266,288.47258171,82.06719221,2.2,5.0,0.23781204,0.37976027,0.483809,0.56992817,0.64818096,0.7176099,0.77998686,0.83631706,train,2,1,8
0.69038862,212.37106847,128.25972611,2.4,4.7,0.19805956,0.3193698,0.439044,0.54284525,0.63999414,0.7302041,0.8136239,0.89131165,train,2,1,6
0.3,6.752840578112406,30.44743120123169,2.9890996,5.0,1.257434368133545,4.317860126495361,7.958592414855957,11.465882301330566,14.047670364379885,14.81484603881836,14.814947128295898,14.814947128295898,train,2,3,18
0.57926566,197.54585869,20.85794691,2.8,5.0,0.34072542,0.65663624,0.9151168,1.1359272,1.3253407,1.4893727,1.6322737,1.7597857,train,2,1,7
0.30843413,258.36737061,393.10507202,2.09955978,4.2743516,0.22030926,0.3541894,0.43093514,0.49812078,0.55825067,0.61279392,0.66291523,0.70849538,train,2,1,8
0.87728966,130.60609463,245.7756988,2.46871196,4.99490674,0.25728559,0.46916366,0.67479992,0.86581874,1.04341888,1.20736837,1.35772991,1.49572182,train,2,1,6
0.35939148,268.24178239,300.43274892,2.3701769,4.1732922,0.26485157,0.45973015,0.586972,0.69621587,0.79103398,0.87604284,0.95133471,1.01884842,train,2,1,8
0.85942793,247.77308275,153.79120038,2.1,4.2,0.1263237,0.180202,0.24424219,0.30982304,0.36486626,0.41860628,0.47071362,0.5214515,train,2,0,4
0.44431167,154.26067081,379.20801938,2.0,4.8,0.15431881,0.16959286,0.20262957,0.22418642,0.23313141,0.24242783,0.25369596,0.2622633,train,2,0,3
0.88273153,7.66925576,57.42904123,2.76863413,4.35976611,0.95458055,2.94271564,4.69073153,5.72373676,6.1611557,6.34842396,6.45853901,6.52835083,train,2,2,12
0.5095448,158.48704244,301.3121983,2.8,4.4,0.2867732,0.46668386,0.58078146,0.6772804,0.75806046,0.8295522,0.8916936,0.9476075,train,2,1,8
0.8994751,132.88006761,115.10229012,2.1,4.2,0.18942451,0.32177496,0.4536295,0.57282114,0.6815438,0.78148794,0.8740134,0.95942736,train,2,1,6
0.69706566,41.13859836,43.9932593,2.9,4.1,0.6808295,1.7947845,2.5906782,3.0360017,3.3104625,3.51367,3.6717138,3.80554,train,2,2,14
0.58096145,147.7278215,110.22272747,2.3,4.7,0.2854514,0.535964,0.7267399,0.8860073,1.0210433,1.1367478,1.2365441,1.3259535,train,2,1,7
0.54083762,123.07307987,51.07921015,2.2,4.3,0.3728876,0.7913165,1.0974197,1.3143005,1.4800391,1.6134968,1.7269616,1.8266191,train,2,1,7
0.49439734,122.69340811,247.92728022,2.3,4.8,0.28269243,0.49365902,0.6209192,0.7160759,0.79427195,0.86089945,0.9155688,0.96401834,train,2,1,9
0.74561451,72.90636458,245.71881334,2.9,5.0,0.38796282,0.7840729,1.0794706,1.2971687,1.4630828,1.5970297,1.7075858,1.7994604,train,2,1,7
0.31556275,50.19957383,98.80914018,2.86160492,4.6159119,0.92308831,2.98632932,5.04193592,6.53265667,7.16959095,7.24799061,7.2509222,7.25309277,train,2,2,13
0.30031166,143.73616948,196.88059464,2.54118982,4.74024899,0.54662371,1.63737345,2.59337378,3.1234374,3.26342773,3.29310131,3.32179499,3.34887028,train,2,2,12
0.66796451,298.3700494,153.8050018,2.8,4.5,0.19201517,0.2688346,0.36817837,0.45789576,0.5332484,0.60848284,0.6788955,0.74699736,train,2,1,8
0.88552132,137.16117418,394.60431112,2.4,4.7,0.15510225,0.19498825,0.25309658,0.29630184,0.33211517,0.36540747,0.39891672,0.42818832,train,2,0,2
